deck1,deck2,total,win_rate
*Lost Zone Box,Lost Zone Box,482,50.0
*Lost Zone Box,Lugia Archeops,198,36.9
*Lugia Archeops,Lost Zone Box,198,63.1
*Lost Zone Box,Mew Genesect,127,43.3
*Mew Genesect,Lost Zone Box,127,56.7
*Lost Zone Box,Miraidon Flaaffy,357,54.9
*Miraidon Flaaffy,Lost Zone Box,357,45.1
*Lost Zone Box,Single Strike Lugia,165,42.4
*Single Strike Lugia,Lost Zone Box,165,57.6
*Lugia Archeops,Lugia Archeops,122,50.0
*Lugia Archeops,Lugia Archeops,122,50.0
*Lugia Archeops,Mew Genesect,54,44.4
*Mew Genesect,Lugia Archeops,54,55.6
*Lugia Archeops,Miraidon Flaaffy,157,32.5
*Miraidon Flaaffy,Lugia Archeops,157,67.5
*Lugia Archeops,Single Strike Lugia,59,57.6
*Single Strike Lugia,Lugia Archeops,59,42.4
*Mew Genesect,Mew Genesect,26,50.0
*Mew Genesect,Mew Genesect,26,50.0
*Mew Genesect,Miraidon Flaaffy,111,64.9
*Miraidon Flaaffy,Mew Genesect,111,35.1
*Mew Genesect,Single Strike Lugia,41,48.8
*Single Strike Lugia,Mew Genesect,41,51.2
*Miraidon Flaaffy,Miraidon Flaaffy,312,50.0
*Miraidon Flaaffy,Miraidon Flaaffy,312,50.0
*Miraidon Flaaffy,Single Strike Lugia,120,60.0
*Single Strike Lugia,Miraidon Flaaffy,120,40.0
*Single Strike Lugia,Single Strike Lugia,90,50.0
*Single Strike Lugia,Single Strike Lugia,90,50.0
